"Part";"Value";"Device";"Package";"Description";"COLOR";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"POWER";"SPICEMODEL";"SPICEPREFIX";"STUFF";
"J0210";"";"CONN_05";"1X05";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";"";"";
"Q301";"T2N7002AK";"MOSFET-NREFLOW";"SOT23";"N-Channel Mosfet";"";"";"";"";"";"";"";"";"";
"Q302";"SSM3J358RLFCT-ND";"MOSFET-P-SOT23";"SOT-23";"P-Channel MOSFET with integrated body diode";"";"";"";"";"";"";"";"";"";
"Q303";"PSMN1R5-30YLC";"PSMN1R5-30YLC";"TO127P600X120-5N";"PSMN1R5-30YLC";"";"";"";"";"";"";"";"";"";
"R100";"100k";"R-US_M0805";"M0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";
"R101";"10k";"R-US_M0805";"M0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";
"R102";"2.2k";"R-US_M0805";"M0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";
"R103";"0";"R-US_M0805";"M0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";
"R104";"0";"R-US_M0805";"M0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";
"R201";"0";"R-US_M0805";"M0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"NO STUFF";
"R202";"10k";"R-US_M0805";"M0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"NO STUFF";
"R301";"100";"R-US_M0805";"M0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";
"R302";"2.2k";"R-US_M0805";"M0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";
"R303";"2.2k";"R-US_M0805";"M0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";
"R304";"100";"R-US_M0805";"M0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";
"R305";"100";"R-US_M0805";"M0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";
"R306";"2.2k";"R-US_M0805";"M0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";
"R307";"0.01";"R-US_R2512";"R2512";"RESISTOR, American symbol";"";"";"";"";"";"2W";"";"";"";
"R401";"150";"R-US_M0805";"M0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";
"R402";"150";"R-US_M0805";"M0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";
"R403";"150";"R-US_M0805";"M0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";
"R404";"300";"R-US_M0805";"M0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";
"R405";"300";"R-US_M0805";"M0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";
"R406";"165";"R-US_M0805";"M0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";
"R407";"150";"R-US_M0805";"M0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";
"U2";"ARDUINO_NANO";"ARDUINO_NANO";"ARDUINO_NANO";"";"";"";"";"";"";"";"";"";"";
"U201";"IFX1763XEJV50";"IFX1763XEJV50";"PG-DSO-8";"IFX1763XEJV50";"";"";"";"";"";"";"";"";"";
